,generations,mean,max
0,1,27.374556353111437,44.98211192946064
1,2,27.517670440096005,44.98211192946064
2,3,30.579161571229108,44.98211192946064
3,4,34.46389900647976,51.9513441515066
4,5,35.16302109446892,51.9513441515066
5,6,35.20516914397524,51.9513441515066
6,7,36.165169936021485,51.9513441515066
7,8,36.71933888018345,51.9513441515066
8,9,37.04002831993557,51.9513441515066
9,10,37.12590253042964,51.9513441515066
10,11,37.77725322234553,51.9513441515066
11,12,38.26557489252395,51.9513441515066
12,13,38.551722999482195,51.9513441515066
13,14,39.09308625156223,51.9513441515066
14,15,39.21278950759828,51.9513441515066
15,16,39.68391523558173,51.9513441515066
16,17,39.73099432358674,51.9513441515066
17,18,39.73099432358674,51.9513441515066
18,19,40.50854736810195,51.9513441515066
19,20,40.584847051519084,51.9513441515066
20,21,40.687421768699416,51.9513441515066
21,22,40.809829053391674,51.9513441515066
22,23,40.82941676336643,51.9513441515066
23,24,40.859848479355094,51.9513441515066
24,25,41.188209012432125,51.9513441515066
25,26,41.323044426091926,51.9513441515066
26,27,41.33616571227835,51.9513441515066
27,28,41.55129225286604,51.9513441515066
28,29,41.688829464160825,51.9513441515066
29,30,41.72453172120281,51.9513441515066
30,31,41.822276465464235,51.9513441515066
31,32,41.91031201024598,51.9513441515066
32,33,42.170086773175974,51.9513441515066
33,34,42.84064824892736,51.9513441515066
34,35,42.891495873104724,51.9513441515066
35,36,42.891495873104724,51.9513441515066
36,37,43.48770315037078,51.9513441515066
37,38,43.57643007880118,51.9513441515066
38,39,43.57643007880118,51.9513441515066
39,40,43.57643007880118,51.9513441515066
40,41,43.57643007880118,51.9513441515066
41,42,43.86919551828794,52.25239820390638
42,43,44.031739847409426,52.25239820390638
43,44,44.19031872084975,52.25239820390638
44,45,44.33643395999723,52.25239820390638
