,generations,mean,max
0,1,28.629671991324603,43.35035188477614
1,2,29.467663861067702,43.35035188477614
2,3,31.289328173556694,43.35035188477614
3,4,33.291745083576274,43.35035188477614
4,5,34.3318491043847,43.35035188477614
5,6,35.972813653240934,43.35035188477614
6,7,36.51837239429889,43.35035188477614
7,8,36.912834293468386,43.35035188477614
8,9,37.74434188858098,43.35035188477614
9,10,38.03696401890486,43.35035188477614
10,11,38.25404448311639,43.35035188477614
11,12,38.49715255880083,43.95243776950216
12,13,38.604789593958635,43.95243776950216
13,14,38.68915159343836,44.699277340742185
14,15,39.049165902573115,44.699277340742185
15,16,39.16562563381863,44.699277340742185
16,17,39.4098762180205,48.02269531362627
17,18,39.96549135603844,48.02269531362627
18,19,40.212225936957466,48.02269531362627
19,20,40.212225936957466,48.02269531362627
20,21,41.80198940645153,52.73028257571423
21,22,41.80198940645153,52.73028257571423
22,23,42.82183327478415,52.73028257571423
23,24,42.94221466204478,52.73028257571423
24,25,42.94221466204478,52.73028257571423
25,26,43.62379330583928,52.73028257571423
26,27,43.679347540415876,52.73028257571423
27,28,43.982506818113116,52.73028257571423
28,29,43.982506818113116,52.73028257571423
29,30,44.024683507872595,52.73028257571423
30,31,44.653419439254925,52.73028257571423
31,32,44.653419439254925,52.73028257571423
32,33,45.0429381239274,52.73028257571423
33,34,45.446665234756594,52.73028257571423
34,35,45.56285004355535,52.73028257571423
35,36,45.596802983726555,53.78282372102154
36,37,45.78114048507997,53.78282372102154
37,38,45.78114048507997,53.78282372102154
38,39,45.90491519889562,53.78282372102154
39,40,46.03564078499046,53.78282372102154
40,41,46.03564078499046,53.78282372102154
41,42,46.09608240771477,53.78282372102154
42,43,46.41639282667311,55.75791840990824
43,44,46.41639282667311,55.75791840990824
44,45,46.56287765608965,55.75791840990824
45,46,46.56287765608965,55.75791840990824
46,47,46.604965461829245,55.75791840990824
47,48,46.626868832355875,55.75791840990824
48,49,46.73211692668478,55.75791840990824
49,50,46.869800474638666,55.75791840990824
50,51,46.947871102368275,55.75791840990824
51,52,46.947871102368275,55.75791840990824
52,53,46.947871102368275,55.75791840990824
53,54,47.27157123519469,62.41239057679488
54,55,47.44223118739956,62.41239057679488
