,generations,mean,max
0,1,26.411972095496303,38.85433677611216
1,2,26.84404208705094,38.85433677611216
2,3,29.44042213784301,38.85433677611216
3,4,35.92099219797092,45.50645025278793
4,5,37.61550920822551,45.50645025278793
5,6,37.61550920822551,45.50645025278793
6,7,38.385803508349404,45.50645025278793
7,8,39.28460836633905,45.50645025278793
8,9,40.729824590650395,46.87842467383389
9,10,40.965074123623374,46.87842467383389
10,11,40.965074123623374,46.87842467383389
11,12,40.965074123623374,46.87842467383389
12,13,41.19112485105015,46.87842467383389
13,14,41.69531707196418,46.87842467383389
14,15,41.69531707196418,46.87842467383389
15,16,42.2846811155564,46.87842467383389
16,17,42.39839746314384,46.87842467383389
17,18,42.5898114866241,46.87842467383389
18,19,42.59524100122651,46.87842467383389
19,20,43.79582895690993,50.83203579024472
20,21,43.79582895690993,50.83203579024472
21,22,43.79582895690993,50.83203579024472
22,23,43.79582895690993,50.83203579024472
23,24,43.79582895690993,50.83203579024472
24,25,43.93154096449583,50.83203579024472
25,26,43.93154096449583,50.83203579024472
26,27,43.93154096449583,50.83203579024472
27,28,43.93154096449583,50.83203579024472
28,29,43.93154096449583,50.83203579024472
29,30,43.93154096449583,50.83203579024472
30,31,44.014494422253236,50.83203579024472
31,32,44.014494422253236,50.83203579024472
32,33,44.014494422253236,50.83203579024472
33,34,44.03364934312495,50.83203579024472
34,35,44.03364934312495,50.83203579024472
35,36,44.16289824058053,50.83203579024472
36,37,44.16289824058053,50.83203579024472
37,38,44.16289824058053,50.83203579024472
38,39,44.16289824058053,50.83203579024472
39,40,44.2029854272608,50.83203579024472
