iter	RMSE
648	0.7707310572
649	0.7691385686
650	0.7667748336
651	0.7650820339
652	0.7638952134
653	0.7613705058
654	0.7593655058
655	0.7575570288
656	0.7565405651
657	0.7529846768
658	0.7513858482
659	0.7488796838
660	0.7451600096
661	0.7434272657
662	0.7416676353
663	0.7393695683
664	0.7374462014
665	0.7349979011
666	0.7332517676
667	0.7320633042
668	0.7304384936
669	0.7286750876
670	0.7247454365
671	0.7224041023
672	0.7205750348
673	0.7179930917
674	0.7156371725
675	0.7130306889
676	0.710411962
677	0.7076500352
678	0.7070972805
679	0.7057384194
680	0.7027414321
681	0.7010696525
682	0.6978373586
683	0.6958224512
684	0.6927085826
685	0.6920196314
686	0.6896242854
687	0.6870210959
688	0.685607093
689	0.684491294
690	0.6828798682
691	0.6819287296
692	0.6806474893
693	0.6780335878
694	0.6754225493
695	0.6741205842
696	0.6726610827
697	0.6715814202
698	0.6701991056
699	0.6698895563
700	0.6683334002
701	0.6676034074
702	0.6653803177
703	0.6629362988
704	0.6618717832
705	0.6596099712
706	0.657864155
707	0.6564207076
708	0.6547770114
709	0.6539033164
710	0.6511898227
711	0.6503215694
712	0.649079169
713	0.64722776
714	0.6461899192
715	0.6445219739
716	0.6441399454
717	0.6431089109
718	0.640594489
719	0.6383471749
720	0.6374439833
721	0.6365195305
722	0.6355809424
723	0.6347065543
724	0.6328445043
725	0.6312311082
726	0.6286660575
727	0.6281212266
728	0.62703776
729	0.6234867767
730	0.6234295662
731	0.6225692866
732	0.6208303656
733	0.6184751076
734	0.6177696873
735	0.6153689269
736	0.6141325057
737	0.6132025451
738	0.6112531036
739	0.6100046167
740	0.6089421452
741	0.6077536341
742	0.6066992583
743	0.6039183123
744	0.6031119688
745	0.6007087017
746	0.5996459798
747	0.5986679831
748	0.5971444443
749	0.5948347058
750	0.5933579886
751	0.5928232501
752	0.5916849416
753	0.5903488994
754	0.5882456746
755	0.58742101
756	0.5868894158
757	0.5844073076
758	0.5828592543
759	0.5811776131
760	0.5793050441
761	0.5778519901
762	0.5767509263
763	0.574993049
764	0.5738693581
765	0.572639383
766	0.5706555343
767	0.569875293
768	0.5689125888
769	0.567591105
770	0.5649983318
771	0.5629659375
772	0.5604739554
773	0.5596562728
774	0.5592443517
775	0.556920535
776	0.5543297979
777	0.5535892935
778	0.5527048322
779	0.5511762165
780	0.5499117335
781	0.549427188
782	0.5477201136
783	0.5460225118
784	0.5427486867
785	0.5417460091
786	0.5410974858
787	0.5393906576
788	0.5387430323
789	0.537654448
790	0.5365821508
791	0.535989317
792	0.5354680314
793	0.5342979417
794	0.5319876965
795	0.5303727981
796	0.5298205207
797	0.5283187197
798	0.5271418001
799	0.5256833175
800	0.5248609444
801	0.5231810477
802	0.5219296247
803	0.5212609194
804	0.5206677567
805	0.5197364426
806	0.5179127976
807	0.5169758973
808	0.5163300538
809	0.5156828579
810	0.5146631707
811	0.5125880635
812	0.5107842549
813	0.5095365804
814	0.5074945617
815	0.5064300812
816	0.5056503718
817	0.5051837439
818	0.5038576827
819	0.5030727575
820	0.5026520152
821	0.5026515631
822	0.5021197745
823	0.5008449132
824	0.4999218287
825	0.4993467858
826	0.4986717882
827	0.4970639798
828	0.4964488614
829	0.4959284243
830	0.4952324707
831	0.4938538325
832	0.4929750017
833	0.4923041904
834	0.4902260766
835	0.487910316
836	0.4867966555
